mid,publish_time,user_name,user_link,content,source,location_url,location_name,image_urls,weibo_link,forward_num,comment_num,like_num
4747751378654227,2022-03-16 21:00,DL72星球,https://weibo.com/5236262180?refer_flag=1001030103_,笑死了哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈//@马叉子子:疫情结束一起去音乐节吧 评论配图,HUAWEI Mate 30 5G,,,https://wx2.sinaimg.cn/orj360/007y2nmGgy1h0bjl8f8nxj30ry0kawkr.jpg,https://weibo.com/5236262180/Lk2elAjmj?refer_flag=1001030103_,0,0,0
4747751378912231,2022-03-16 20:59,C怦然心动只为你,https://weibo.com/7621199742?refer_flag=1001030103_,//@爱樱桃的小喜子:#金晨正能量# 和金晨一起携手用爱化解困难 同心抗疫 做好防护 疫情早日结束,真我V11s 5G,,,https://wx3.sinaimg.cn/orj360/001RVHM6gy1h0bspt7o0nj60u01hc43p02.jpg,https://weibo.com/7621199742/Lk2elBotF?refer_flag=1001030103_,0,0,0
4747751377609537,2022-03-16 21:00,闪光的杨丞琳,https://weibo.com/7445491440?refer_flag=1001030103_,//@闪光的杨丞琳:Rainie //@杨丞琳资讯:好久不见的运动琳美照💖健康自律的姐姐好爱～疫情当前我们更要强身健体@楊丞琳,Android,,,https://wx1.sinaimg.cn/orj360/003PEQQHly1h0bwkwonirj611i1awe8102.jpg https://wx4.sinaimg.cn/orj360/003PEQQHly1h0bwkyhqgxj611i1aw4qp02.jpg https://wx4.sinaimg.cn/orj360/003PEQQHly1h0bwl050njj611i1aw7wh02.jpg https://wx4.sinaimg.cn/thumb150/003PEQQHly1h0bwl1v2exj61101a94qp02.jpg https://wx3.sinaimg.cn/orj360/003PEQQHly1h0bwl3kxysj611i1aw7wh02.jpg https://wx4.sinaimg.cn/thumb150/003PEQQHly1h0bwl5p62vj611i1aw7wh02.jpg,https://weibo.com/7445491440/Lk2elvVAt?refer_flag=1001030103_,0,0,0
4747751378389959,2022-03-16 21:00,期海舞者,https://weibo.com/7519675110?refer_flag=1001030103_,焦  炭1、河北、山东主流钢厂接受焦炭第四轮提涨200元/吨，焦炭累积涨幅800元/吨，本轮提涨全面落地。随着两会结束，钢焦企业均陆续复产，但整体看高炉复产力度要大于焦化，刚需增加明显，另外，由于疫情多点爆发，物流中转效率大幅降低，钢厂对于补库需求仍较好。港口方面由于盘面大幅回落，港口情绪明显降温，加之疫情影响终端需求下滑预期走强，贸易商多有出货意愿，港口报价随之有所松动，不过考虑近期钢厂全面复产，而原料成本仍处高位，短期焦炭市场延续偏强走势，后续关注钢厂利润以及煤价走势。2、山东地区主流钢厂对焦炭采购价第四轮提涨，涨幅200元/吨，调整后具体情况如下：1、准一级（湿熄）冶金焦：A≤13，S≤0.75，CSR≥60，CRI≤30，MT≤7，上调200元/吨，涨后执行省内3460元/吨，省外3470元/吨；2、准一级（干熄）冶金焦：A≤13，S≤0.7，CSR≥60，CRI≤29，MT0，上调200元/吨，涨后执行3910元/吨，不分省内外；3、二级冶金焦：A≤13.5，S≤0.8，CSR≥58，MT≤7，上调200元/吨，涨后执行3400元/吨；以上均为基价，到厂承兑含税价，2022年3月15日0时起执行。 3、16日日照、青岛港焦炭现货震荡运行。现贸易现汇出库：准一级焦3500，一级焦3600；工厂承兑平仓：二级3510，准一级3610，一级3710，均含税价。日照港106增4，青岛港125减2，两港总库存231较上周同期增10。近期需关注下游钢厂复产、行业利润和期货盘面等情况对港口焦炭的影响。4、焦企盈利情况较前期有所好转，但炼焦煤价格频频波动，焦企入炉煤成本居高不下；区域内焦企开工率较上周比略有增幅，计划逐步恢复日常产量；原料端炼焦煤价格偏强，但近期出现部分煤种流拍现象，焦企观望情绪浓厚，保持正常采购节奏；下游钢厂复产，对焦炭有一定需求，但钢厂利润微薄，焦炭继续调整恐受限；从价格来看，山西地区主流市场准一级湿熄冶金焦报价3340-3410元/吨；准一级干熄冶金焦报价3700-3870元/吨；一级湿熄冶金焦报价3400-3580元/吨；一级干熄冶金焦报价4000-4100元/吨。#期货##焦炭# 收起全文d,新版微博 weibo.com,,,,https://weibo.com/7519675110/Lk2elzcBV?refer_flag=1001030103_,0,0,0
4747751378650178,2022-03-16 21:00,倔强复读机,https://weibo.com/6112440335?refer_flag=1001030103_,和我这帮在疫情中隔离的哥们们整点， 2白城 ​,iQOO Neo3 生而为赢,http://t.cn/R2WxCS3,白城,https://wx3.sinaimg.cn/orj360/006FFaXlly1h0c0spnnmxj30u01uwdmd.jpg,https://weibo.com/6112440335/Lk2elAij0?refer_flag=1001030103_,0,0,0
4747751378391431,2022-03-16 21:00,丰色南半球,https://weibo.com/2605291544?refer_flag=1001030103_,疫情什么时候可以结束,iPhone,,,,https://weibo.com/2605291544/Lk2elzcZF?refer_flag=1001030103_,0,0,0
4747751374197881,2022-03-16 20:59,关于桃只,https://weibo.com/1700018524?refer_flag=1001030103_,这个疫情我真的是破防了。。比2020年还烦 ​,iPhone,,,https://wx3.sinaimg.cn/orj360/6554395cgy1h0c0tmuflfj204g03k742.jpg,https://weibo.com/1700018524/Lk2elhC3L?refer_flag=1001030103_,0,0,0
4747751374196009,2022-03-16 20:59,脑补娱乐圈晋江文,https://weibo.com/7570781110?refer_flag=1001030103_,去除惦记功能 再遇到你时像个陌生人  //@脑补娱乐圈晋江文:茄茄🍆 @薛之谦 //@薛之谦的海吉星:好想你 疫情赶快过去吧 希望见面的那一天能早点到来 爱你呜呜 @薛之谦,OPPO智能手机,,,,https://weibo.com/7570781110/Lk2elhBzz?refer_flag=1001030103_,0,0,0
4747751374196001,2022-03-16 20:59,呼忘永陪楼岁白袖,https://weibo.com/7565126829?refer_flag=1001030103_,1//@一枚露馅的团子://@一枚露馅的团子:3.16磊磊 //@圈养孤独1122://@赵磊30M的雷丘:赵磊 雾霭会散去，皓月会长明，抗击疫情，你我同在，而我们的相见，终会到来。,vivo X27 4800万三摄,,,https://wx3.sinaimg.cn/orj360/9f0b9dbdly1h0axvrfixaj20u01hc79c.jpg,https://weibo.com/7565126829/Lk2elhBzr?refer_flag=1001030103_,10,0,0
4747751373933384,2022-03-16 20:59,景苑551,https://weibo.com/5703636551?refer_flag=1001030103_,//@听风诉说温柔_:3.16//@GloryingK_鞠婧祎荣耀相随:“疫情面前，没有人是孤岛”。万众一心，携手#同心抗疫# ，共克时艰，静待春暖花开！,HUAWEI Mate 30,,,https://wx2.sinaimg.cn/orj360/0040jbadgy1h0axi84uq6j60u01hcafe02.jpg,https://weibo.com/5703636551/Lk2elgvfG?refer_flag=1001030103_,0,0,0
4747751374457566,2022-03-16 20:59,天津市人民检察院,https://weibo.com/5385431433?refer_flag=1001030103_,【3月16日，临港经济区相关区域调整风险等级】#防控疫情 天津在行动# 记者从市防控指挥部获悉，根据我市当前疫情形势和防控工作需要，按照国务院应对新冠肺炎疫情联防联控机制关于科学划分、精准防控等工作要求，经市防控指挥部研判，并经市防控领导小组同意，自2022年3月16日起，将天津临港经济区东方星城调整为高风险地区；将天津临港经济区泰长领钧实业发展有限公司调整为中风险地区。天津市其他区域风险等级不变。　　我市将根据疫情防控工作形势，适时调整有关区域风险等级。O网页链接 收起全文d,,,,https://wx1.sinaimg.cn/orj360/005SsIJjly1h0c0tq1t0oj308g06bdfq.jpg,https://weibo.com/5385431433/Lk2eliHCe?refer_flag=1001030103_,0,0,0
